seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
12.084553798,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.898554000
12.172982287,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:04.986982000
12.255038017,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.069038000
12.336744787,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.150745000
12.417928902,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.231929000
12.49905135,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.313051000
12.580683329,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.394683000
12.663200047,29.58045821,30.87834409,3.5,50.0,145.8000030517578,1513085405000.0,2017-12-12 03:30:05.477200000
12.745707027,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.559707000
12.827114423,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.641114000
12.908212235,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.722212000
12.991525829,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.805526000
13.072731089,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.886731000
13.155105152,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:05.969105000
13.235934475,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.049934000
13.317305569,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.131306000
13.399112183,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.213112000
13.480959785,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.294960000
13.561827911,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.375828000
